Funcloc,Alamat1,Alamat2,Alamat3,Alamat4,SiteName
100000002506,Jl.Desa Jelapat Rt 10,Kel. Jelapat Ii,Kec. Mekarsari,BARITO KUALA,Jensen Group
100000002507,Jl.Aes Nasution Rt 005,Kel. Badandan,Kec. Cerbon,BARITO KUALA,"Mejia, Frey and Sosa"
100000002508,"Jl.Tinggiran Baru, Rt 07Â  ,",Kel. Tinggiran Baru,Kec. Mekarsari,BARITO KUALA,Nelson-Velazquez
100000002509,"Jl.Kolam Makmur Rt 01Â  RwÂ  01,",Kel.Kolam Makmur,Kec. Wanaraya,BARITO KUALA,"Bell, Jones and Chambers"
100000002510,Jorong Talang,Nagari Sungai Lansek,Kec. Kamang Baru,SIJUNJUNG,Soto-Wilson
100000002511,Desa Tanjung Lolo,Desa Tanjung Lolo,Kec. Tanjung Gadang,SIJUNJUNG,Lopez Ltd
100000002512,"Jl. Desa Paya Pisang,",Kel. Desa Paya Pisang,Kec. Bandar Dua,PIDIE JAYA,"Lyons, Vaughan and Carroll"
100000002514,"Duson Cot Lupe,",Kel. Gampong Tunnong,Kec. Pante Raja,PIDIE JAYA,Palmer-Tyler
100000002517,"Desa Blang Dalam ,",Kel. Desa Blang Dalam,kec. Bandar Dua,PIDIE JAYA,Burton-Atkins
100000002518,Jl.Poros Makassar-Maros Ling.Bontopuasa,Kel.Adatonggeng,Kec.Turikale,MAROS,Richmond and Sons
100000002520,Lingkungan Tompo Bulu,Kel.Tompo Bulu,Kec.Tompobulu,MAROS,"Hudson, Kelley and Larson"
100000002525,Desa Mengupeh Rt 07,Desa Mengupeh,Kec Tengah Ilir,TEBO,Allen-Lawrence
100000002526,Rt. 08 Rw.3,Desa Betung Bedarah Barat,Kec. Tebo Ilir,TEBO,"Moss, Stephens and Lowe"
100000002528,Jl. Jayapura Rt. 01 Rw.01,Kel. Sumbersari,Kec. Rimbo Ulu,TEBO,Hensley-Cantu
100000002530,Jl. Barito Rt.39 Rw. 11,Ds. Wanareja,Kec. Rimbo Ulu,TEBO,"Carter, Warner and Wong"
100000002531,Jl. Simpang Lima Rt 02 Rw 06,Kel. Muara Tebo,Kec. Tebo Tengah,TEBO,Crawford and Sons
100000002532,Jl. Garuda I Rt 23 Rw 03,Kel. Sapta Mulya,Kec. Rimbo Bujang,TEBO,Moore Inc
100000002533,Tabun Rt.01,Kel. Tabun,Kec. VII Koto,TEBO,"Morrow, Phillips and Rice"
100000002534,"Dusun Cempaka Biru, Rt05",Desa Lubuk Benteng,Kec. Tebo Ulu,TEBO,Carr PLC
100000002535,RT. 006 Dusun III,Desa Tegal Sari,Kec. Megang Sakti,MUSI RAWAS,Castro PLC
100000002536,Dusun Teluk Rendah Pasar Rt. 02,Desa Teluk Rendah Pasar,Kec. Tebo Ilir,TEBO,"Horne, Jensen and Walsh"
100000002537,"Desa Teluk Kembang Jambu,","Desa Teluk Kembang Jambu,",Kec. Tebo Ulu,TEBO,Lloyd PLC
100000002539,"Kel. Marobo,",Kel. Marobo,Kec. Sabbang,LUWU UTARA,"Smith, Campbell and Rivera"
100000002541,"Dusun Suka Damai,",Desa Suka Damai,Kec. Suka Maju,LUWU UTARA,Johnson Ltd
100000002542,"Dusun Wonogiri,",Desa Maraba,Kec. Kesu,LUWU UTARA,Hinton-Gallegos
100000002543,"Jl.Poros Carigading Lamurukung,",Desa Carigading,Kec Awangpone,LUWU UTARA,Norton-Carter
100000002544,"Dusun Mekar Sari Rt.01.Rw.02,",Desa Cendana Putih 2,Kec. Mappadeceng,LUWU UTARA,"Wood, Green and Robinson"
100000002545,"Dusun Pongko,",Desa Pongko,Kec. Bone,LUWU UTARA,Dixon-Sullivan
100000002546,Jl. Dusun Tete Uri 1,Desa Tete Uri,Kec.Sabbang,LUWU UTARA,Hoover PLC
100000002547,Jl. Dusun Tokaili,Desa Pompengan,Kec.Lamasi Timur,LUWU UTARA,Kelly-Hernandez
100000002548,"Jl. Pelabuhan Haria, Lingkungan 1,",Desa Haria,Kec. Saparua,MALUKU TENGAH,"Smith, Mills and Long"
100000002549,"Jl. Desa Sirisori-Ouw,",Desa Sirisori,Kec. Saparua,MALUKU TENGAH,Miller-Rivera
100000002550,"Jl. Trans Air Pepaya,",Amahai,Kec. Amahai,MALUKU TENGAH,Cooper Inc
100000002551,Ds Telupi Baru,Ds Telupi Baru,Kec Tehoru,MALUKU TENGAH,Holland Inc
100000002552,Jl. Poros Rt.14/Rw.05,Ds. Harapan Mukti,Kec. Tanjung Raya,MESUJI,"Murphy, Mueller and Hernandez"
100000002553,Rt.06 Rw.03,Desa Adi Luhur,Kecamatan Panca Jaya,MESUJI,Hoover-Torres
100000002554,Jl. Dusun V Priyangan Rt 02,Desa Tri Mulya,Kec. Rantau Rasau,TANJUNG JABUNG TIMUR,"Mcdonald, Huffman and Klein"
100000002555,"Dusun I,",Desa Rambat,Kecamatan Simpang Teritip,BANGKA BARAT,"Smith, Williams and Gray"
100000002558,Jl. Dr. Sutomo,Kelurahan Karang Baru,Kecamatan Mataram,"MATARAM, KOTA",Alvarez Inc
100000002562,Desa Momojiu,Desa Momojiu,Kec. Morotai Selatan,PULAU MOROTAI,Leach-Miller
100000002563,Jl.Muara Teweh-Puruk Cahu Km 21 Rt08,Kel. Nihan Hilir,Kec. Lehai,BARITO UTARA,"Kelly, Stewart and Hutchinson"
100000002565,"Sabuh, Rt 01 Rw 01,",Desa Sabuh,Kec. Teweh Tengah,BARITO UTARA,"Banks, Price and Kirk"
100000002566,"Jl. Raya Ds. Sailo, Dusun Karasik",Kec. Mempawah Hulu,Kec. Mempawah Hulu,LANDAK,"Munoz, Watson and Gonzalez"
100000002568,"Desa Sebatih,","Desa Sebatih,",Kec. Sengah Temila,LANDAK,Cooper-Allen
100000002569,"Dusun Tamahar,","Dusun Tamahar,",Kec. Jelimpu,LANDAK,Lee-Hughes
100000002570,Jl. Raya Gilimanuk (Spbu Gilimanuk),Gilimanuk,Gilimanuk,JEMBRANA,Andrews and Sons
100000002572,"Jl. Dharmawangsa Banjar Sari Kelod,",Ds. Warnasari,Kec. Melaya,JEMBRANA,Jarvis-Morales
100000002574,Jalan Raya Negara Gilimanuk,Desa Melaya,Kec.Melaya,JEMBRANA,"Moon, Reeves and Weiss"
100000002575,"Desa Lelateng,","Desa Lelateng,",Kec.Negara,JEMBRANA,Anderson LLC
100000002576,Jl. Desa Bukit Raya Rt. 009 Rw. 003,Kel. Bukit Raya,Kec. Menthobi Raya,LAMANDAU,Myers and Sons
100000002578,"Pt. Sari Bumi Kusuma,",Nanga Nuak Km54,Kec. Nanga Pinoh,MELAWI,"Wright, Chase and Hurley"
100000002579,"Jalan Raya Solo,","Watualang,",Ngawi,NGAWI,Rodriguez-Malone
100000002584,Dusun Gilis Rt.03 Rw.01,Desa Macanan,Kec. Loceret,NGANJUK,"Dorsey, Tapia and Sherman"
100000002586,Desa Sumengko Rt.02 Rw.04,Kel.Sumengko,Kec.Sukomoro,NGANJUK,Taylor-Russo
100000002589,Kelurahan Rt 01 Rw 02,Desa Kelurahan,Kecamatan Ngronggot,NGANJUK,Stanton Group
100000002592,"Jl. Yos Sudarso Rt 03 Rw 01,",Kel. Tanjung Harapan,Kec. Nunukan Selatan,NUNUKAN,"Oconnor, Mejia and Harrell"
100000002594,"Jl. Pantai, Rt 04, Dusun H. Baddurahim,",Kel. Pancang,Kec. Sebatik Indo,NUNUKAN,Hall Ltd
100000002595,Jl. Grand Hotel No. 22 A Rt.03 Rw.03,Desa Lembang,Kec. Lembang,BANDUNG BARAT,Salazar-Kelley
100000002596,"Kp. Kepuh Rt.04 Rw.07,",Desa Jayamekar,Kec.Padalarang,BANDUNG BARAT,Sharp Ltd
100000002597,"Jl Raya Purwakarta, Kp Cigentur Rt3/Rw1",Desa Mandalasari,Kec. Cikalong Wetan,BANDUNG BARAT,Kennedy Ltd
100000002599,Jl. Punggung Lading,Nagari Punggung Lading,Pariaman Selatan,"PARIAMAN, KOTA","White, Peterson and Gonzalez"
100000002601,Jorong III Kampung Ladang,Nagari Sungai Abang,Kec. Lubuk Alung,PADANG PARIAMAN,"Cole, Dixon and Wagner"
100000002603,Jl. Agus Salim,Nagari Kampung Baru,Kec. Pariaman Tengah,PADANG PARIAMAN,Thompson-Nguyen
100000002615,JL. GUNUNG MAS RT.04 RW.03,KEL. GUNUNG PANGGILUN,KEC.PADANG UTARA,"PADANG, KOTA","Wilson, Lee and Davis"
100000002616,Jl. Gunung Silamalo,Gunung Silamalo,Gunung Silamalo,"PALU, KOTA",Deleon LLC
100000002617,Jl. Lekatu,Kel. Tavanjuka,Kec. Palu Selatan,"PALU, KOTA",Morris-Fisher
100000002618,Jl Delima Rt08 Rw04,Kel Boyage,Kec Palu Barat,"PALU, KOTA","Whitehead, Chase and Jenkins"
100000002619,Kel. Poboya,Kel. Poboya,Kec. Palu Timur Kota Palu,"PALU, KOTA",Martin PLC
100000002620,"Jl. Towua Ii,",Kel. Tatura Selatan,Kec. Palu Selatan,"PALU, KOTA",Anthony-Rose
100000002622,Rt.00 Rw00,Desa Tolong Garo,Kec.Banawah Selatan,"PALU, KOTA",Mccarthy-Mccoy
100000002623,Jl. Toogelele,Desa Guntaran,Kec. Tanantovea,"PALU, KOTA",Wu Ltd
100000002624,Rt03 Rw01,Desa Watusampu,Kec. Palu Barat,"PALU, KOTA","Mcdonald, White and Barnes"
100000002625,Jalan Wombo Rt.15/Rw.02,Desa Pantoloan,Kec. Palu Utara,"PALU, KOTA",Patel-Thompson
100000002626,"Jl Kasuari, Rt 03 Rw 03",Kel. Birobuli Utara,Kec. Palu Selatan,"PALU, KOTA",Smith-Long
100000002627,"Jl. Cumi-Cumi Rt 001,",Kel. Lere,Kec. Palu Barat,"PALU, KOTA","Freeman, Miller and Gomez"
100000002628,"Tanallum, Rt02/04",Tanallum,Kec. Rembang,PURBALINGGA,Fernandez Ltd
100000002630,Jl Desa Kutawis,Desa Kutawis,Bukateja,PURBALINGGA,Campbell Group
100000002633,Jl. Porong Rt 01 Rw 05,Kel. Jrebeng Kulon,Kec. Kedopok Kotamadya,"PROBOLINGGO, KOTA",Brown-Bullock
100000002638,"Jl. Vilasari RT.01 RW.10,",Kel. Umban Sari,Kec. Rumbai,"PEKANBARU, KOTA","Curtis, Murphy and Peterson"
100000002639,Jl.Ahmad Dahlan - Gg.Putri Nilam,Sukajadi,Sukajadi,"PEKANBARU, KOTA",Hill-Tucker
100000002641,Jl Padat Karya Rt 6 Tw 9,Kel Umban Sari,Kec Rumbai Kota,"PEKANBARU, KOTA",Young-Boyd
100000002643,Jalan Suka Mulya Rt 05 Rt 08,Kel. Tuah Karya,Kec. Tampan,"PEKANBARU, KOTA",Mercado PLC
100000002644,Jl Bangau Sakti RT 05 RW 04,Kel. Simpang Baru,Kec. Tampan,"PEKANBARU, KOTA","Norman, Smith and Hill"
100000002645,Jl. Tiung Rt03/Rw013,Kel. Simpang Baru,Kec Tampan,"PEKANBARU, KOTA","Smith, Mora and Martinez"
100000002647,Jl.Jendral/ Akademi.,Payung Sekaki,Kec.Payung Sekaki,"PEKANBARU, KOTA","Reynolds, Hodges and Nash"
100000002649,Jl. Kaharudin Nasution Pekanbaru,Padang Marpoyan,Padang Marpoyan,"PEKANBARU, KOTA","Cox, Webb and Chan"
100000002651,Jl. Abdul Muis Pekanbaru,Cintaraja,Sail,"PEKANBARU, KOTA",Sullivan-Johnson
100000002654,"Jl Banda Aceh Rt 01/ Rw14,",Kel. Tangkerang Utara,Kec. Bukit Raya,"PEKANBARU, KOTA",Curtis-Johnson
100000002655,Jl Dahlia Gg Gajus Rt/Rw 03/03,Kedung Sari,Kedung Sari,"PEKANBARU, KOTA","Bailey, Mercer and Webb"
100000002656,"Jl Poros Rumbai,",Kel. Rumbai Bukit,Kec. Rumbai,"PEKANBARU, KOTA",Kennedy-Hart
100000002657,Jalan Dharma Bakti No. 7 Rt 02 Rw 12,Kelurahan Labuh Baru,Kec. Payung Sekaki,"PEKANBARU, KOTA",Burns Ltd
100000002658,Jl Satria Rt 01/Rw 021,Sidomulyo,Tampan,"PEKANBARU, KOTA",Smith Ltd
100000002660,"Jl Kampung Baru Rt 04/ Rw 05,",Kel Sail,Kec Tenayan Raya,"PEKANBARU, KOTA",Rios PLC
100000002662,Jl. Nelayan Rt 4 Rw 1,Kel Sri Meranti,Kec Rumbai,"PEKANBARU, KOTA","Davenport, Butler and Maldonado"
100000002664,Jl Palas Mekkar,Kel Umban Sari,Kec Rumbai Kota,"PEKANBARU, KOTA","Clark, Flores and Davila"
100000002666,Jl. Sungai Kampar Gg Buntu Rt 01 Rw 01,Kel Sekip,Kec Lima Puluh,"PEKANBARU, KOTA",Contreras-Riggs
100000002670,Jl. Riau 1 No 1 C,Kel.Terubuk,Kec.Senapelan,"PEKANBARU, KOTA",Johnson-Adams
100000002671,Jalan Kasim Perkasa Rt.04 Rw.04,Kel Rumbai Bukit,Kec Rumbai,"PEKANBARU, KOTA",Cox-Walker
100000002672,Jl. Siak 2 Rt 03 Rw 09,Kel. Tampan,Kec. Payung Sekaki,"PEKANBARU, KOTA",Harper Group
100000002673,Jl. Labersa,Parit Indah,Parit Indah,"PEKANBARU, KOTA","Krause, Lopez and Booth"
100000002674,Jl. Erba Rt.03- Rw.06,Kel. Lembah Sari,Kec. Rumbai,"PEKANBARU, KOTA",Martin Inc
100000002675,Jl. Ahmad Yani No. 85 Rt 02 Rw 04,Kel. Tanah Datar,Kec. Pekanbaru,"PEKANBARU, KOTA",Gonzalez-Robinson
100000002676,Jl.Teluk Leok Rt 02 Rw 03,Kel.Limbungan,Kec.Rumbai Pesisir,"PEKANBARU, KOTA",Lee-Miller
100000002677,Jl. Kaharuddin Nasution No 207 Ab,Kel Simpang Tiga,Kec. Bukit Raya,"PEKANBARU, KOTA","Burnett, Watts and Ortiz"
100000002678,Jl. Riau Gg.Geliga,Kel.Padang Terubuk,Kec.Senapelan,"PEKANBARU, KOTA",Hernandez PLC
100000002679,Jl Merak Sakti,Kel. Simapang Baru,Kec. Tampan,"PEKANBARU, KOTA",Pham-Mason
100000002680,Jl.Murai,Kelurahan Rumbai Bukit,Kecamatan Rumbai,"PEKANBARU, KOTA","Reed, Garcia and Proctor"
100000002681,"Jl. Pantai Tanjung Penghujan, Rt. 08",Kel. Teluk Bogam,Kec. Kumai,KOTAWARINGIN BARAT,Rodriguez and Sons
100000002683,"Desa Riam Durian,","Desa Riam Durian,",Kec. Kotawaringin Lama,KOTAWARINGIN BARAT,Huynh-Ward
100000002684,"Rt 01,","Desa Medang Sari,",Kec. Arut Selatan,KOTAWARINGIN BARAT,Martinez LLC
100000002686,Dukuh Rejo Mulyo Rt.03 Rw.10 Kepek,Kepek,Kec. Sudimoro,PACITAN,Dominguez-Edwards
100000002687,"Dusun Bulih, Rt004/Â  Rw009",Desa Wonoanti,Kec. Tulakan,PACITAN,Garcia PLC
100000002688,Jl. Buana Keling Rt 2 Rw 1 Dera Kayen,Dsn Krajan,Pacitan,PACITAN,Carroll LLC
100000002689,Dusun Sengon Rt002/ Rw004,Desa Sambong,Kec. Pacitan,PACITAN,"Smith, Montgomery and Cook"
100000002695,"Kp. Madur,","Ds. Rancapinang,",Kec. Cimanggu,PANDEGLANG,Cain LLC
100000002699,"Kp. Cikaludan,","Ds. Curugciung,",Kec. Cikeusik,PANDEGLANG,"Johnson, Johnson and Miller"
100000002700,Kampung Ubulan Rt 01/Rw 02,"Desa Umbulan,",Kec. Cikesik,PANDEGLANG,Fry Group
100000002703,Kp. Kiara Rt.02/07 Ds. Padaherang,Kel. Angsana,Pandeglang,PANDEGLANG,Garcia-Nolan
100000002705,Kp. Batu Bantar Rt.02/01,Ds. Leuwibalang,Kec. Cikesik,PANDEGLANG,Morris-Shepard
100000002707,Kp. Cimapag Rt.04/01,Ds. Karya Buana,Kec. Cigeulis,PANDEGLANG,Young-Reynolds
100000002709,Kp. Lumpi / Bojong Manik Rt.04/04,Ds Bojong Manik,Kec. Sindang Resmi,PANDEGLANG,"Hernandez, Gibson and Atkins"
100000002713,Desa Tanjung Jaya,"Desa Tanjung Jaya,",Pandeglang,PANDEGLANG,Kim PLC
100000002715,Jl. Sigando Lorong Sirombu Rt. 02/02,Kel. Sigando,Kec. Padang Panjang Timur,"PADANG PANJANG, KOTA",Patterson Group
100000002716,Jl. Kroni Akip,Kel. Tinggi Ari,Kec. Pagar Alam Selatan,"PAGAR ALAM, KOTA",Lee Inc
100000002717,Jl. Mengkudu Rt. 005 Rw.002,Kelurahan Tuatunu Indah,Kecamatan Gerunggang,"PANGKAL PINANG, KOTA",Mcintosh Inc
100000002719,Poros Pinrang Polmas Dusun Barugae,Desa Bungi,Kec.Duampanua,PINRANG,Ortiz-Jones
100000002720,Poros Pinrang Polmas Dusun Lepangan,Desa Lepangan,Kec.Pittumpanua,PINRANG,"Fernandez, Hanson and Holmes"
100000002722,Poros Pinrang Polmas Desa Bittoeng,Kel.Bittoeng,Kec.Duampanua,PINRANG,Farmer LLC
100000002723,Lingkungan Ujung,Kel.Tiroang,Kec.Tiroang,PINRANG,Lee-Brown
100000002724,Poros Pinrang Polmas Dusun Masila,Kel.Pekkabata,Kec.Duampanua,PINRANG,Stewart-Miller
100000002725,"Lingkungan Ulu Tedong,",Desa Maccorawalie,Kecamatan Sawitto,PINRANG,Vincent LLC
100000002726,"Alecalimpo Barat, Rt.003/001",Kel.Fakkie,Kec.Tiroang,PINRANG,"Medina, Johnston and Graham"
100000002727,"Kampung Sarempo,",Kel. Siparappe,Kec. Watang Sawitto,PINRANG,Cruz Group
100000002728,"Jl. Boki Rt/Rw 003/003,",Kel. Pammase,Kec. Tiroang,PINRANG,"Nguyen, Kim and Hammond"
100000002729,"Dusun Tanah Cicau Ii, ,",Desa Salipo,Kec.Cempa,PINRANG,Carter Inc
100000002731,"Desa Suka Jadi Rt.12 Rw.6,","Kel.Tanah Mas,",Kec.Talang Kelapa,BANYUASIN,Brooks-Yang
100000002733,"Jalan Tabuan Medco, Rt.09, Dusun Iii,",Desa Sri Kembang,Kecamatan Betung,BANYUASIN,"Bullock, Cross and Price"
100000002734,Desa Sidomakmur,Desa Sidomakmur,Kec. Banyuasin I,BANYUASIN,Turner Inc
100000002735,Kayuara Kuning Rt. 004/ Rw. 002,Kel. Kayuara Kuning,Kec. Banyuasin Iii,BANYUASIN,Gonzales Group
100000002736,Rt.4 Dusun I,Desa Durian Daun,Kec. Suak Tapeh,BANYUASIN,"Clark, Morrow and White"
100000002737,"Rt. 003, Dusun I Sumber Agung,",Desa Tirtosari,Kecamatan Banyuasin I,BANYUASIN,Rollins Ltd
100000002738,"Rt. 025 Rw.007,",Kelurahan Seterio,Kecamatan Banyuasin Iii,BANYUASIN,"Woods, Sanchez and Holt"
100000002739,"Rt.12 Dusun 4,",Senda Mukti,Kec. Pulau Rimau,BANYUASIN,Williams Group
100000002740,"Dusun 6 Tritunggal,",Desa Bentayam,Kec. Tungkal Ilir,BANYUASIN,Cox-Tanner
100000002741,Rt 10 Rw 05 Dusun Ll,Desa Sungai Rengit Murni,Kec Talang Kelapa,BANYUASIN,"Hicks, Gamble and Beck"
100000002742,Rt.001/ Rw 01,Desa Saleh Mukti,Kec. Air Saleh,BANYUASIN,Shaffer-Brady
100000002743,Rt. 002/ Rw.001,Desa Bangung Sari,Kecamatan Tanjung Lago,BANYUASIN,"Smith, Stephenson and Joseph"
100000002744,"Rt. 001 Dusun 1,",Desa Enggal Rejo,Kec. Air Saleh,BANYUASIN,Peters PLC
100000002745,Rt. 15/ Rw 004,Desa Sukatani,Kecamatan Tanjung Lago,BANYUASIN,Jones-Martin
100000002746,"Rt.10/Rw.02,",Desa Pelajau,Kecamatan Banyuasin Iii,BANYUASIN,Duran Group
100000002747,"Rt09, Dusun 2,",Desa Talang Rejo,Kec. Muara Telang,BANYUASIN,Jones-Clark
100000002748,Dusun I Tanah Kesring,Desa Mukut,Kecamatan Pulau Rimau,BANYUASIN,"Guerra, Moore and Butler"
100000002749,"Dusun I Upang Jaya,",Desa Upang Jaya,Kec. Makarti Jaya,BANYUASIN,Coffey-Suarez
100000002750,Kel.Bonto Perak,Kel.Bonto Perak,Kec.Pangkajene,PANGKAJENE KEPULAUAN,"Edwards, Smith and Velazquez"
100000002752,Jalan Desa Barabaru,Desa Barabaru,Kecamatan Labakang,PANGKAJENE KEPULAUAN,"Castillo, Howard and Aguilar"
100000002753,Dusun Macope,Desa Parenreng,Kec.Segeri,PANGKAJENE KEPULAUAN,"Cantu, Perez and Garza"
100000002755,"Jalan Dusun Bontosunggu,",Desa Pitusunggu,Kecamatan Maâ€™Rang,PANGKAJENE KEPULAUAN,"Edwards, Villegas and Anderson"
100000002756,Jl.Andi Maruddani,Kel.Pundatabaji,Kec.Labakkang,PANGKAJENE KEPULAUAN,Lucero LLC
100000002757,Jl. Sapanang Rt/Rw - 003/006,Kel. Sapang,Kec. Bungoro,PANGKAJENE KEPULAUAN,Osborne LLC
100000002758,"Dusun Rapokadang, Desa/",Kel. Kalabirang,Kec. Minasa TeNe,PANGKAJENE KEPULAUAN,Chavez Ltd
100000002759,Jl. Lintas Bono Rt 7 Rw 3,Desa Balam Merah,Kec. Bunut,PELALAWAN,Thompson and Sons
100000002760,Jln. Poros Trans Sulawesi,Desa Ako,Kecamatan Pasang Kayu,MAMUJU UTARA,"Dunlap, Davis and Oconnor"
100000002761,Jl. Bandaco Kel. Kampung Tengah,Kel. Mamuju Utara,Kec. Pasang Kayu,MAMUJU UTARA,Jackson and Sons
100000002763,Jl. Rawasari Rt.47/Rw.10,Kel. Bukit Sangkal,Kec. Kalidoni,"PALEMBANG, KOTA","Rodriguez, Mccoy and Walton"
100000002764,Jl. Sersan Zaini Rt. 27 Rw. 11,Kel. Dua Ilir,Palembang,"PALEMBANG, KOTA","Wilson, Robles and Fischer"
100000002765,"Dusun Ciater RT 01 / RW 09,",Desa Rawakalong,Kec. Gunung Sindur,BOGOR,Wade-Griffith
100000002767,Blok Dj 17,Komplek Perumahan,Bukit Sejahtera,"PALEMBANG, KOTA",Lloyd-Cooper
100000002771,Desa Muara Kintap,Desa Muara Kintap,Kec. Kintap,TANAH LAUT,Silva-Odom
100000002773,"Jl.Rombongan 4,",Kel. Sumber Makmur,Kec. Takisung,TANAH LAUT,Walker Inc
100000002775,Jorong Koto,Nagari Gunung Medan,Kec.Sitiung Dhamasraya,DHARMASRAYA,"Ramsey, Hall and Cruz"
100000002776,"Jorong Pdang Sari,",Nagari Katapiang Tinggi,Kec. Pulau Punjung,DHARMASRAYA,"Kelly, Duran and Ortiz"
100000002777,Km.5 Jorong Sungai Nili,Nagari Sungai Kambut,Kec.Pulau Punjung,DHARMASRAYA,Carpenter-Wells
100000002778,Jl. Simpang Blok B Jorong Seberang,Nagari Koto Baru,Kec.Koto Baru,DHARMASRAYA,"Rodriguez, Carter and Lopez"
100000002779,J.L. M. Yamin Jorong Trimulya,Nagari Panyubarangan,Kec. Sitiung,DHARMASRAYA,"Hill, Webb and Hayes"
100000002780,Jorong Sungai Nili,Nagari Sungai Kambut,Kec. Punjung,DHARMASRAYA,"Thompson, Blackburn and Chavez"
100000002781,"Jl. Kampung Surau, Jorong Kubah Panjang",Nagari Iv Koto,Kec. Pulau Punjung,DHARMASRAYA,Castaneda-Rose
100000002782,"Jl. Cilik Riwut Gg Sion,",Palangkaraya,Palangkaraya,"PALANGKARAYA, KOTA","Cruz, Jackson and Schroeder"
100000002784,Jl. Mahir Mahar Lingkar Luar Rt4 Rw3,Kel. Kereng Bengkirai,Kec. Sebangal,"PALANGKARAYA, KOTA",Burgess-Wells
100000002790,"Jl. Bangau, Rt. 2, Rw.6,",Kel. Temmalebba,Kec. Bara,"PALOPO, KOTA","Jarvis, Rogers and Rogers"
100000002792,"Dusun Angkasa,","Desa Karang-Karang,An,",Kec. Bua,LUWU,Mcknight PLC
100000002793,"Dsn Biru, Rt 02 Rw 02, ,",Kelurahan Towondu,Kecamatan Suli,LUWU,"Burns, Williams and Wright"
100000002794,"Jl. Trans Sumber Mulya / Spf, Rt. 02,",Desa Sumber Mulya,Kec. Simpang Raya,LUWU,Bowman Group
100000002795,"Dusun Kondongan,",Desa Binturu,Kec. Lorompong,LUWU,"Jones, Chambers and Oliver"
100000002796,Buntubarana/,"Lindayang,",Kec. Suli Barat,LUWU,Price-Hartman
100000002797,Jl. Cendrawasih,Kel. Pekkabata,Kec. Polewali,POLEWALI MANDAR,"Yang, Daniel and Williams"
100000002799,"Desa Duanpanua,","Desa Duanpanua,",Kec. Anreapi,POLEWALI MANDAR,"Chambers, Deleon and Williams"
100000002801,"Dusun Lelatin,","Desa Galung Tulu,",Kec. Balanipa,POLEWALI MANDAR,"Kim, Wheeler and Page"
100000002802,Jl. Limboro Ll.,Kelurahan Limboro,Limboro,POLEWALI MANDAR,Hill PLC
100000002803,"Dusun Tanjung,","Dusun Tanjung,",Kecamatan Pademawu,PAMEKASAN,"Forbes, Johnson and Bean"
100000002805,Jl. Sumber Batu Dusun Barbeton,Desa Blumbungan,Kec. Larangan,PAMEKASAN,"Solis, Melendez and Little"
100000002807,Ds Karangsari Rt04 Rw01,Ds Karangsari,Kec. Pulosari,PEMALANG,Dixon-Calderon
100000002809,Rt 05 Rw Ii,Kel. Kuta,Kec. Belik,PEMALANG,Parker and Sons
100000002810,Jl. Raya Semingkir Rt.02/01,Kel.Semingkir,Kec. Randudongkal,PEMALANG,"Anthony, Rosales and Hartman"
100000002812,Rt 03 Rw I,Kel. Hagasama,Kec. Watukumpul,PEMALANG,"Gordon, Moore and Stone"
100000002813,Jalan Pemuda,Kel. Mulyoharjo,Kec. Pemalang,PEMALANG,"Jenkins, Smith and Chang"
100000002814,Jl. Tanah Baya Rt 01 Rw 02,Ds Tanahbaya,Kec Randudongkal,PEMALANG,"Alvarez, Brooks and Brown"
100000002815,Jl.Sangnawaluh No.29 RT.14/06,Siopat Suhu,Siantar Timur,"PEMATANGSIANTAR, KOTA",Lynch LLC
100000002819,"Huta Raya Timuran,",Kel. Desa Maria Jambi,Kec. Jawa Maraja Bahjambi,SIMALUNGUN,"Flowers, Kim and Howell"
100000002820,"Dusun Huta III,",Desa Bahal Batu,Kecamatan Hutabayu Raja,SIMALUNGUN,Wheeler LLC
100000002821,"Desa Sinasih,",Kelurahan Maria Buttu,Kecamatan Silau Kahaean,SIMALUNGUN,Gordon-Diaz
100000002822,Gambiri Desa Silabah Jaya Kel.Simalungun,Simalungun,Dolok Perdamean,SIMALUNGUN,Martin-Johnson
100000002823,Jl.Huta Bayu-Silakkidir Huta II Huta Bar,Ds Silakkidir,Huta Bayu Raja,SIMALUNGUN,Hill-Diaz
100000002824,Jl.Antara Lingkungan II Taratak,Bosar Maligas,Bosar Maligas,SIMALUNGUN,"Baker, Davis and Tyler"
100000002825,Jl. Ringin Kembar Rt.3 Rw.01,Kel.Tatung,Kec.Balong,PONOROGO,James-Solis
100000002827,Dsn. Jati Rt.01 Rw.02,Kel.Ngrogung,Kec.Ngebel,PONOROGO,Valencia-Welch
100000002829,Ds.Janti Rt.02 Rw.01,Kel.Janti,Kec.Slahung,PONOROGO,Boyer LLC
100000002832,Ds.Jenangan Rt.01 Rw.02,Kel.Jenangan,Kec.Sampung,PONOROGO,Johnson LLC
100000002833,Dukuh Krajan Tengah Rt. 01/ Rw. 01,Desa Wates,Kec. Slahung,PONOROGO,Cohen PLC
100000002835,Rt2/Rw3  Ds. Kunti Kec. Sampung Ponorogo,Kunti,Sampung,Ponorogo,"Crosby, Green and Perez"
100000002847,"Jl. Tambak Baru, Rt 05,",Kel. Saloloang,Kec. Penajam,PENAJAM PASER UTARA,Lin-Simmons
